Statistics Canada, CANSIM using CHASS.

"COL0","Date (YYYY-MM-DD)"
"COL1","v2062809 Canada [11124]; Population (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL2","v2062810 Canada [11124]; Labour force (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL3","v2062811 Canada [11124]; Employment (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL4","v2062812 Canada [11124]; Full-time employment (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL5","v2062813 Canada [11124]; Part-time employment (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL6","v2062814 Canada [11124]; Unemployment (Persons); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL7","v2062815 Canada [11124]; Unemployment rate (Percentage); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL8","v2062816 Canada [11124]; Participation rate (Percentage); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL9","v2062817 Canada [11124]; Employment rate (Percentage); Both sexes; 15 years and over; Estimate; Seasonally adjusted"
"COL10","v2064888 Canada [11124]; Population (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL11","v2064889 Canada [11124]; Labour force (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL12","v2064890 Canada [11124]; Employment (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL13","v2064891 Canada [11124]; Full-time employment (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL14","v2064892 Canada [11124]; Part-time employment (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL15","v2064893 Canada [11124]; Unemployment (Persons); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL16","v2064894 Canada [11124]; Unemployment rate (Percentage); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL17","v2064895 Canada [11124]; Participation rate (Percentage); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL18","v2064896 Canada [11124]; Employment rate (Percentage); Both sexes; 15 years and over; Estimate; Unadjusted"
"COL19","v100304302 Canada [11124]; Employment (Persons); Both sexes; 15 years and over; Estimate; Trend-cycle"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19"

1976-01,16852400.0,10369700.0,9636700.0,8431000.0,1205600.0,733000.0,7.1,61.5,57.2,16852400.0,10087100.0,9271400.0,8007400.0,1264000.0,815700.0,8.1,59.9,55.0,9667700.0
1976-02,16892000.0,10389800.0,9659800.0,8467500.0,1192300.0,730000.0,7.0,61.5,57.2,16892000.0,10132700.0,9324500.0,8073600.0,1250900.0,808200.0,8.0,60.0,55.2,9682200.0
1976-03,16930700.0,10395700.0,9704200.0,8509400.0,1194800.0,691500.0,6.7,61.4,57.3,16930700.0,10205100.0,9428400.0,8162100.0,1266200.0,776700.0,7.6,60.3,55.7,9697300.0
1976-04,16969400.0,10451300.0,9738200.0,8540100.0,1198100.0,713100.0,6.8,61.6,57.4,16969400.0,10276200.0,9503000.0,8238000.0,1265000.0,773200.0,7.5,60.6,56.0,9714700.0
1976-05,17008100.0,10446100.0,9726100.0,8529600.0,1196400.0,720000.0,6.9,61.4,57.2,17008100.0,10481300.0,9766400.0,8531000.0,1235400.0,714900.0,6.8,61.6,57.4,9729400.0
1976-06,17046800.0,10469600.0,9748300.0,8519200.0,1229100.0,721300.0,6.9,61.4,57.2,17046800.0,10739300.0,10030900.0,8835300.0,1195600.0,708400.0,6.6,63.0,58.8,9745000.0
1976-07,17085500.0,10539400.0,9759500.0,8544400.0,1215100.0,779900.0,7.4,61.7,57.1,17085500.0,11007600.0,10221800.0,9203500.0,1018300.0,785800.0,7.1,64.4,59.8,9762500.0
1976-08,17124400.0,10524100.0,9780500.0,8561900.0,1218600.0,743600.0,7.1,61.5,57.1,17124400.0,10921700.0,10206600.0,9231600.0,975000.0,715100.0,6.5,63.8,59.6,9776700.0
1976-09,17154400.0,10531900.0,9795200.0,8582600.0,1212600.0,736700.0,7.0,61.4,57.1,17154400.0,10532500.0,9864000.0,8689100.0,1174900.0,668500.0,6.3,61.4,57.5,9791700.0
1976-10,17183400.0,10565100.0,9782500.0,8537700.0,1244800.0,782600.0,7.4,61.5,56.9,17183400.0,10527100.0,9844100.0,8568300.0,1275800.0,683000.0,6.5,61.3,57.3,9808300.0
1976-11,17211400.0,10609500.0,9829000.0,8560800.0,1268200.0,780500.0,7.4,61.6,57.1,17211400.0,10507500.0,9789700.0,8452300.0,1337400.0,717800.0,6.8,61.0,56.9,9826900.0
1976-12,17238100.0,10657300.0,9862600.0,8606300.0,1256300.0,794800.0,7.5,61.8,57.2,17238100.0,10477500.0,9719100.0,8364000.0,1355100.0,758300.0,7.2,60.8,56.4,9844600.0
1977-01,17270600.0,10681100.0,9869300.0,8615100.0,1254200.0,811800.0,7.6,61.8,57.1,17270600.0,10380000.0,9485700.0,8182300.0,1303300.0,894300.0,8.6,60.1,54.9,9859900.0
1977-02,17302400.0,10716100.0,9874200.0,8611300.0,1262900.0,842000.0,7.9,61.9,57.1,17302400.0,10466100.0,9534700.0,8203600.0,1331100.0,931400.0,8.9,60.5,55.1,9871400.0
1977-03,17329100.0,10701700.0,9865700.0,8589500.0,1276200.0,836000.0,7.8,61.8,56.9,17329100.0,10530200.0,9591300.0,8237500.0,1353800.0,939000.0,8.9,60.8,55.3,9882000.0
1977-04,17358700.0,10741500.0,9892600.0,8620400.0,1272100.0,849000.0,7.9,61.9,57.0,17358700.0,10571100.0,9649100.0,8309900.0,1339200.0,922000.0,8.7,60.9,55.6,9892000.0
