Statistics Canada, CANSIM using CHASS.

"COL0","Date (YYYY-MM-DD)"
"COL1","v4391505 Canada [11124]; Total actual hours worked, all industries; Estimate (Hours)"

"COL0","COL1"

1976-01,349438400.0
1976-02,347387900.0
1976-03,348572000.0
1976-04,350861800.0
1976-05,351030800.0
1976-06,350732900.0
1976-07,349722900.0
1976-08,350715000.0
1976-09,351087000.0
1976-10,346272300.0
1976-11,352199900.0
1976-12,352980500.0
1977-01,345270000.0
1977-02,352332800.0
1977-03,351656800.0
1977-04,355467600.0
1977-05,354520100.0
1977-06,354717200.0
1977-07,354610200.0
1977-08,355738200.0
1977-09,356324600.0
1977-10,358059700.0
1977-11,359437500.0
1977-12,348495600.0
1978-01,350906400.0
1978-02,358271300.0
1978-03,360927300.0
1978-04,360734800.0
1978-05,364087300.0
1978-06,364362300.0
1978-07,367391200.0
1978-08,367862700.0
1978-09,366725900.0
1978-10,372120400.0
1978-11,371676300.0
1978-12,374122400.0
1979-01,376833500.0
1979-02,373628800.0
1979-03,378027000.0
1979-04,376122200.0
1979-05,378677100.0
1979-06,380846700.0
1979-07,380329800.0
1979-08,383896000.0
1979-09,385122700.0
1979-10,384802500.0
1979-11,384726600.0
1979-12,385356000.0
1980-01,385943000.0
1980-02,384327400.0
1980-03,384425400.0
1980-04,388402200.0
1980-05,385443000.0
1980-06,385937500.0
1980-07,388952800.0
1980-08,387368600.0
1980-09,387811000.0
1980-10,391625500.0
1980-11,393531800.0
1980-12,394330300.0
1981-01,397216300.0
1981-02,398802200.0
1981-03,397471300.0
1981-04,400024800.0
1981-05,398233700.0
1981-06,400040500.0
1981-07,400418400.0
1981-08,398266500.0
1981-09,397978400.0
1981-10,395119500.0
1981-11,397238500.0
1981-12,393887400.0
1982-01,390374700.0
1982-02,390318600.0
1982-03,389248700.0
1982-04,384092300.0
1982-05,382883500.0
1982-06,378961800.0
1982-07,376906400.0
1982-08,371738400.0
1982-09,376318100.0
1982-10,373355500.0
1982-11,371731400.0
1982-12,371635500.0
1983-01,372779700.0
1983-02,368572200.0
1983-03,376180600.0
1983-04,377781400.0
1983-05,380481100.0
1983-06,383949800.0
