DATE,LFUNTTTTUSM647S
1960-01-01,3615000
1960-02-01,3329000
1960-03-01,3726000
1960-04-01,3620000
1960-05-01,3569000
1960-06-01,3766000
1960-07-01,3836000
1960-08-01,3946000
1960-09-01,3884000
1960-10-01,4252000
1960-11-01,4330000
1960-12-01,4617000
1961-01-01,4671000
1961-02-01,4832000
1961-03-01,4853000
1961-04-01,4893000
1961-05-01,5003000
1961-06-01,4885000
1961-07-01,4928000
1961-08-01,4682000
1961-09-01,4676000
1961-10-01,4573000
1961-11-01,4295000
1961-12-01,4177000
1962-01-01,4081000
1962-02-01,3871000
1962-03-01,3921000
1962-04-01,3906000
1962-05-01,3863000
1962-06-01,3844000
1962-07-01,3819000
1962-08-01,4013000
1962-09-01,3961000
1962-10-01,3803000
1962-11-01,4024000
1962-12-01,3907000
1963-01-01,4074000
1963-02-01,4238000
1963-03-01,4072000
1963-04-01,4055000
1963-05-01,4217000
1963-06-01,3977000
1963-07-01,4051000
1963-08-01,3878000
1963-09-01,3957000
1963-10-01,3987000
1963-11-01,4151000
1963-12-01,3975000
1964-01-01,4029000
1964-02-01,3932000
1964-03-01,3950000
1964-04-01,3918000
1964-05-01,3764000
1964-06-01,3814000
1964-07-01,3608000
1964-08-01,3655000
1964-09-01,3712000
1964-10-01,3726000
1964-11-01,3551000
1964-12-01,3651000
1965-01-01,3572000
1965-02-01,3730000
1965-03-01,3510000
1965-04-01,3595000
1965-05-01,3432000
1965-06-01,3387000
1965-07-01,3301000
1965-08-01,3254000
1965-09-01,3216000
1965-10-01,3143000
1965-11-01,3073000
1965-12-01,3031000
1966-01-01,2988000
1966-02-01,2820000
1966-03-01,2887000
1966-04-01,2828000
1966-05-01,2950000
1966-06-01,2872000
1966-07-01,2876000
1966-08-01,2900000
1966-09-01,2798000
1966-10-01,2798000
1966-11-01,2770000
1966-12-01,2912000
1967-01-01,2968000
1967-02-01,2915000
1967-03-01,2889000
1967-04-01,2895000
1967-05-01,2929000
1967-06-01,2992000
1967-07-01,2944000
1967-08-01,2945000
1967-09-01,2958000
1967-10-01,3143000
1967-11-01,3066000
1967-12-01,3018000
1968-01-01,2878000
1968-02-01,3001000
1968-03-01,2877000
1968-04-01,2709000
1968-05-01,2740000
1968-06-01,2938000
1968-07-01,2883000
1968-08-01,2768000
1968-09-01,2686000
1968-10-01,2689000
1968-11-01,2715000
1968-12-01,2685000
1969-01-01,2718000
1969-02-01,2692000
1969-03-01,2712000
1969-04-01,2758000
1969-05-01,2713000
1969-06-01,2816000
1969-07-01,2868000
1969-08-01,2856000
1969-09-01,3040000
1969-10-01,3049000
1969-11-01,2856000
1969-12-01,2884000
1970-01-01,3201000
1970-02-01,3453000
1970-03-01,3635000
1970-04-01,3797000
1970-05-01,3919000
1970-06-01,4071000
1970-07-01,4175000
1970-08-01,4256000
1970-09-01,4456000
1970-10-01,4591000
1970-11-01,4898000
1970-12-01,5076000
1971-01-01,4986000
1971-02-01,4903000
1971-03-01,4987000
1971-04-01,4959000
1971-05-01,4996000
1971-06-01,4949000
1971-07-01,5035000
1971-08-01,5134000
1971-09-01,5042000
1971-10-01,4954000
1971-11-01,5161000
1971-12-01,5154000
1972-01-01,5019000
1972-02-01,4928000
1972-03-01,5038000
1972-04-01,4959000
1972-05-01,4922000
1972-06-01,4923000
1972-07-01,4913000
1972-08-01,4939000
1972-09-01,4849000
1972-10-01,4875000
1972-11-01,4602000
1972-12-01,4543000
1973-01-01,4326000
1973-02-01,4452000
1973-03-01,4394000
1973-04-01,4459000
1973-05-01,4329000
1973-06-01,4363000
1973-07-01,4305000
1973-08-01,4305000
1973-09-01,4350000
1973-10-01,4144000
1973-11-01,4396000
1973-12-01,4489000
1974-01-01,4644000
1974-02-01,4731000
1974-03-01,4634000
1974-04-01,4618000
1974-05-01,4705000
1974-06-01,4927000
1974-07-01,5063000
1974-08-01,5022000
1974-09-01,5437000
1974-10-01,5523000
1974-11-01,6140000
1974-12-01,6636000
1975-01-01,7501000
1975-02-01,7520000
1975-03-01,7978000
1975-04-01,8210000
1975-05-01,8433000
1975-06-01,8220000
1975-07-01,8127000
1975-08-01,7928000
1975-09-01,7923000
1975-10-01,7897000
1975-11-01,7794000
1975-12-01,7744000
1976-01-01,7534000
1976-02-01,7326000
1976-03-01,7230000
1976-04-01,7330000
1976-05-01,7053000
1976-06-01,7322000
1976-07-01,7490000
1976-08-01,7518000
1976-09-01,7380000
1976-10-01,7430000
1976-11-01,7620000
1976-12-01,7545000
1977-01-01,7280000
1977-02-01,7443000
1977-03-01,7307000
1977-04-01,7059000
1977-05-01,6911000
1977-06-01,7134000
1977-07-01,6829000
1977-08-01,6925000
1977-09-01,6751000
1977-10-01,6763000
1977-11-01,6815000
1977-12-01,6386000
1978-01-01,6489000
1978-02-01,6318000
1978-03-01,6337000
1978-04-01,6180000
1978-05-01,6127000
1978-06-01,6028000
1978-07-01,6309000
1978-08-01,6080000
1978-09-01,6125000
1978-10-01,5947000
1978-11-01,6077000
1978-12-01,6228000
1979-01-01,6109000
1979-02-01,6173000
1979-03-01,6109000
1979-04-01,6069000
1979-05-01,5840000
1979-06-01,5959000
1979-07-01,5996000
1979-08-01,6320000
1979-09-01,6190000
1979-10-01,6296000
1979-11-01,6238000
1979-12-01,6325000
