DATE,NAEXKP01CAQ189S
1961-01-01,85892750000.0
1961-04-01,88065250000.0
1961-07-01,90187000000.0
1961-10-01,91446750000.0
1962-01-01,93870250000.0
1962-04-01,94561000000.0
1962-07-01,95806250000.0
1962-10-01,97758250000.0
1963-01-01,98351750000.0
1963-04-01,99790000000.0
1963-07-01,100566250000.0
1963-10-01,103722750000.0
1964-01-01,106295750000.0
1964-04-01,106687500000.0
1964-07-01,107799250000.0
1964-10-01,108381250000.0
1965-01-01,111793000000.0
1965-04-01,112864000000.0
1965-07-01,114401000000.0
1965-10-01,117214750000.0
1966-01-01,119458500000.0
1966-04-01,121991000000.0
1966-07-01,121961750000.0
1966-10-01,123453750000.0
1967-01-01,123182250000.0
1967-04-01,125774250000.0
1967-07-01,126224250000.0
1967-10-01,126735000000.0
1968-01-01,127785750000.0
1968-04-01,131258500000.0
1968-07-01,133053750000.00002
1968-10-01,134890999999.99998
1969-01-01,136655499999.99998
1969-04-01,137329000000.00002
1969-07-01,138803500000.0
1969-10-01,140790250000.0
1970-01-01,141700000000.0
1970-04-01,141694250000.0
1970-07-01,143157250000.0
1970-10-01,143412500000.0
1971-01-01,142589750000.0
1971-04-01,146725750000.0
1971-07-01,150805250000.0
1971-10-01,152472750000.0
1972-01-01,151940000000.0
1972-04-01,156240000000.0
1972-07-01,156675500000.0
1972-10-01,160387750000.0
1973-01-01,164576000000.0
1973-04-01,166361000000.0
1973-07-01,166963250000.0
1973-10-01,170083500000.0
1974-01-01,171344500000.0
1974-04-01,173219500000.0
1974-07-01,173067250000.0
1974-10-01,172264500000.0
1975-01-01,171182000000.0
1975-04-01,173406750000.0
1975-07-01,176663250000.0
1975-10-01,178724000000.0
1976-01-01,181821000000.0
1976-04-01,185755250000.0
1976-07-01,186582500000.0
1976-10-01,186967000000.0
1977-01-01,189625750000.0
1977-04-01,190644500000.0
1977-07-01,191653000000.0
1977-10-01,194683250000.0
1978-01-01,196320250000.0
1978-04-01,197667000000.0
1978-07-01,199553750000.0
1978-10-01,201303750000.0
1979-01-01,202978500000.0
1979-04-01,205712750000.0
1979-07-01,207136250000.0
1979-10-01,208515000000.0
1980-01-01,209975000000.0
1980-04-01,209908250000.0
1980-07-01,209667250000.0
1980-10-01,212561000000.0
1981-01-01,217245750000.0
1981-04-01,219687500000.0
1981-07-01,217715250000.0
1981-10-01,216718500000.0
1982-01-01,214169000000.0
1982-04-01,211690750000.0
1982-07-01,209835250000.0
1982-10-01,207899250000.0
1983-01-01,211377000000.0
1983-04-01,215531500000.0
1983-07-01,217942000000.0
1983-10-01,220688500000.0
1984-01-01,224485000000.0
1984-04-01,228875750000.0
1984-07-01,229838250000.0
1984-10-01,233480000000.0
1985-01-01,237027500000.0
1985-04-01,237783000000.0
1985-07-01,240799750000.0
1985-10-01,244495500000.0
1986-01-01,244422000000.0
1986-04-01,245811500000.0
1986-07-01,246121750000.0
1986-10-01,244344500000.0
1987-01-01,249982000000.0
1987-04-01,253210750000.0
1987-07-01,257064750000.0
